ID,Application creation month,NUMBER CREDITS IN KBI 3,NUMBER CREDITS IN KBI 6,ADMINISTRATIVE VIOLATION,CRIMINAL VIOLATION,NUMBER CREDITS IN KBI,NUMBER REQUESTS IN KBI,NUMBER REQUESTS IN KBI ALL,CLOSED CREDITS IN KBI,CLOSED CREDITS IN KBI YEAR,OVERDUES IN KBI,DURATION LAST OVERDUE,COUNTGUARANTEE,COUNTCLOSEGUARANTEE,COUNTOPENGUARANTEE,DURATIONGREATESTDELAYLASTYEAR,DURATIONGREATESTDELAYLASTALL,LATECOUNTSUMM 1 7,LATECOUNTSUMM 8 30,LATECOUNTSUMM 31 90,LATECOUNTSUMM 91 180,LATECOUNTSUMM 181,LATECOUNTPRC 1 7,LATECOUNTPRC 8 30,LATECOUNTPRC 31 90,LATECOUNTPRC 91 180,LATECOUNTPRC 181,LATECOUNTPAY 1 7,LATECOUNTPAY 8 30,LATECOUNTPAY 31 90,LATECOUNTPAY 91 180,LATECOUNTPAY 181,SEX,BIRTH CNTR,MARITAL STATUS,CHILDREN,MINORS,HOMEPHONE,WORKPHONE,MOBILE 1,REG TOWNTYPE,HOME TOWNTYPE,EMPLOYMENT,EDUCATION,PROFESSION,REAL ESTATE,VEHICLE,PERSONNEL PHONE,ACCOUNTING PHONE,Age,Length work,Matching address of registration and residence,Loans total,Credit load,Marker
551,winter,0,1,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Widow,2,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,48,3.0,yes,2,0.20,good
552,winter,0,0,1,0,1,1,5,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Male,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Higher education,a,yes,yes,yes,yes,48,1.0,yes,3,0.80,good
553,autumn,1,1,1,0,2,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,yes,no,42,17.5,yes,5,0.28,good
554,winter,0,1,0,0,5,0,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,2,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,49,25.3,yes,10,0.30,good
555,autumn,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,k,yes,yes,yes,yes,52,10.0,yes,0,0.04,good
556,winter,0,0,0,0,3,1,12,7,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,no,no,47,7.0,yes,10,0.12,good
557,summer,0,0,0,0,1,1,8,4,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,a,no,no,no,no,35,15.8,yes,5,0.06,good
558,autumn,0,0,6,0,0,1,2,1,0,0,3,2,1,1,0,8,8,1,0,0,0,8,1,0,0,0,8,1,0,0,0,Male,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Secondary education,i,no,yes,no,no,39,0.9,yes,1,0.03,good
559,autumn,0,0,2,0,1,0,2,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,4,3,yes,yes,yes,City,City,Recruitment,Higher education,k,yes,yes,no,no,42,3.9,yes,2,0.08,good
560,autumn,1,2,0,0,1,1,12,9,3,5,7,1,1,0,32,32,2,3,1,0,0,2,3,0,0,0,3,4,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Secondary education,d,yes,no,yes,yes,55,3.0,yes,10,0.69,good
561,winter,0,1,0,0,2,1,9,3,1,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,g,yes,yes,no,no,38,15.1,yes,5,0.19,good
562,autumn,0,0,0,0,2,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Secondary special education,j,yes,yes,yes,no,42,0.3,yes,6,0.38,good
563,autumn,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,n,yes,yes,no,no,58,22.0,yes,3,0.16,good
564,autumn,0,0,2,0,1,0,3,1,1,1,1,2,1,1,1,5,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,29,3.0,no,2,0.12,good
565,autumn,0,0,6,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Separation,1,1,yes,yes,yes,City,City,Recruitment,Higher education,n,no,yes,no,no,35,12.0,yes,2,0.09,good
566,winter,1,1,0,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,0,0,yes,yes,yes,City,City,Recruitment,Higher education,j,yes,no,no,no,43,11.0,yes,3,0.30,good
567,autumn,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,RU,Widow,1,1,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,no,no,37,0.5,yes,3,0.03,good
568,summer,0,0,1,0,0,0,0,2,2,1,10,0,0,0,10,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary technical education,i,no,no,yes,yes,22,1.0,yes,2,0.04,good
569,autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,23,1.0,no,0,0.04,good
570,winter,1,1,8,0,3,0,15,12,1,10,9,3,1,2,14,33,8,18,0,0,0,10,16,1,0,0,1,3,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Owner of the enterprise,Higher education,k,yes,yes,yes,yes,32,3.5,yes,15,0.19,good
571,winter,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,32,3.0,yes,2,0.05,good
572,winter,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,Village1,Village1,Recruitment,Secondary technical education,j,no,yes,no,no,32,6.0,yes,0,0.04,bad
573,summer,0,0,0,0,2,0,4,4,0,0,1,2,1,1,0,8,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,p,yes,yes,no,no,37,8.0,yes,6,0.29,good
574,autumn,0,0,0,0,0,0,4,2,0,0,71,1,1,0,0,71,4,14,3,0,0,4,14,4,0,0,2,17,3,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,s,yes,yes,no,no,28,9.3,yes,2,0.03,good
575,winter,1,1,0,0,3,2,9,3,0,3,7,1,0,1,7,8,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,Feminine,RU,Single,0,0,no,yes,yes,City,City,Recruitment,Higher education,q,no,no,yes,yes,30,2.8,no,6,0.80,good
576,winter,0,2,1,0,4,2,16,7,2,1,28,3,2,1,28,210,4,5,0,0,0,6,5,1,0,0,2,1,0,0,1,Feminine,RU,Separation,3,0,yes,yes,yes,Urban type settlement,Urban type settlement,Individual entrepreneur,Secondary special education,k,no,yes,no,no,54,12.1,yes,11,0.66,good
577,summer,0,0,2,0,1,0,6,5,0,0,10,2,2,0,0,71,2,9,3,0,0,2,8,3,0,0,1,5,2,0,0,Male,BY,Single,0,0,yes,yes,yes,Rural village,Rural village,Recruitment,Higher education,a,no,yes,yes,yes,29,4.8,yes,6,0.02,good
578,winter,0,0,0,0,1,1,6,1,0,3,13,1,1,0,13,70,4,15,2,0,0,4,17,2,0,0,0,3,1,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,l,no,no,yes,no,34,9.3,yes,2,0.08,good
579,winter,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,j,yes,yes,no,no,36,6.3,no,4,0.10,good
580,autumn,1,1,0,0,3,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,27,3.2,yes,5,0.30,good
581,summer,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,no,yes,City,City,Recruitment,Secondary education,i,no,yes,no,no,35,4.3,no,1,0.16,good
582,autumn,0,2,0,0,2,0,18,6,3,5,6,2,1,1,7,67,14,4,0,0,0,11,7,2,0,0,1,1,0,0,0,Feminine,RU,Single,0,0,yes,yes,yes,Urban type settlement,City,Recruitment,Higher education,f,no,no,yes,no,30,10.5,no,8,0.23,good
583,autumn,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Other,Secondary special education,f,yes,yes,no,no,36,15.0,yes,0,0.06,good
584,autumn,1,1,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Higher education,p,yes,yes,no,no,42,19.0,yes,4,0.11,good
585,summer,0,0,0,0,0,0,6,10,3,1,67,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,BY,Married,3,2,yes,yes,yes,City,City,Recruitment,Higher education,d,yes,yes,no,no,47,0.5,yes,10,0.05,good
586,winter,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,n,yes,yes,yes,yes,41,4.7,yes,0,0.07,good
587,winter,0,1,0,1,2,2,25,9,0,0,7,0,0,0,0,43,21,6,2,0,0,22,9,2,0,0,16,4,2,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,j,no,yes,yes,yes,38,1.3,no,11,0.29,good
588,autumn,0,0,1,0,2,0,8,2,0,0,21,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,36,5.5,yes,4,0.11,good
589,autumn,0,0,0,0,2,1,8,8,3,1,6,2,2,0,6,11,2,1,0,0,0,1,0,0,0,0,1,3,1,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,a,no,no,no,no,29,7.9,yes,10,0.41,good
590,autumn,0,0,0,0,2,0,8,7,1,1,8,4,1,3,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Higher education,q,no,yes,yes,yes,52,25.9,yes,9,0.19,good
591,winter,0,0,0,0,3,0,7,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,yes,35,15.5,yes,6,0.29,good
592,autumn,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,24,3.0,yes,1,0.26,good
593,winter,0,0,2,1,1,1,1,0,0,0,3,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,Male,BY,Separation,1,0,yes,yes,yes,Agrotown,Agrotown,Recruitment,Secondary special education,a,no,no,no,no,41,1.3,yes,1,0.03,good
594,autumn,0,0,0,0,1,1,7,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,Agrotown,Agrotown,Owner of the enterprise,Higher education,k,yes,no,no,no,58,8.1,no,5,0.09,bad
595,summer,0,0,1,0,2,0,5,0,0,4,1,3,1,2,1,17,11,1,0,0,0,12,1,0,0,0,12,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,no,yes,36,13.0,yes,2,0.20,good
596,autumn,1,2,2,0,3,2,15,1,0,0,21,0,0,0,0,133,0,3,0,1,0,0,4,0,1,0,0,4,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,no,no,no,no,22,0.8,yes,4,0.30,bad
597,winter,0,0,0,0,0,1,5,3,0,0,3,2,0,2,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,e,no,yes,no,no,42,23.5,yes,3,0.14,good
598,winter,0,1,1,0,2,0,2,2,0,1,19,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,n,yes,no,no,yes,37,6.3,yes,4,0.21,good
599,autumn,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary technical education,a,no,no,no,no,60,14.2,no,0,0.05,good
600,winter,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,no,42,1.5,yes,3,0.05,good
601,winter,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,c,no,yes,no,no,27,3.4,yes,0,0.49,good
602,autumn,1,1,0,0,2,0,9,8,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,no,yes,no,no,45,15.6,yes,10,0.18,good
603,autumn,0,0,0,4,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,UA,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,a,no,no,no,no,28,7.0,yes,2,0.05,good
604,summer,1,3,0,0,4,2,10,5,3,1,2,0,0,0,2,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,l,yes,no,no,no,34,2.7,yes,9,0.44,good
605,winter,1,2,0,0,2,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,EE,Separation,2,1,yes,yes,yes,City,City,Recruitment,Secondary special education,n,no,no,no,yes,40,6.3,yes,8,0.31,good
606,autumn,1,1,2,0,2,2,3,1,1,4,5,0,0,0,13,13,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,h,no,yes,yes,yes,22,1.3,yes,3,0.35,bad
607,autumn,0,0,0,0,1,0,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,j,yes,yes,no,no,34,0.4,yes,2,0.16,good
608,autumn,0,0,0,0,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,a,no,no,yes,yes,23,6.3,yes,5,0.61,good
609,autumn,0,0,0,0,2,0,7,6,0,2,20,6,4,2,20,20,8,1,0,0,0,6,1,0,0,0,6,1,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,no,no,39,4.0,yes,8,0.12,good
610,autumn,0,0,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,yes,no,30,1.5,yes,1,0.04,good
611,winter,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,28,1.7,yes,1,0.02,good
612,autumn,0,1,0,0,2,1,6,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,p,no,no,no,no,49,15.1,no,4,0.04,good
613,winter,0,0,3,0,5,0,28,25,4,6,12,0,0,0,12,22,4,3,0,0,0,8,5,0,0,0,2,2,1,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,g,yes,yes,no,yes,39,7.7,yes,30,0.26,good
614,winter,0,0,0,0,1,6,14,8,1,8,8,0,0,0,27,27,14,9,0,0,0,14,10,0,0,0,0,0,1,0,0,Feminine,BY,Widow,1,0,yes,yes,yes,City,City,Recruitment,Higher education,e,yes,yes,no,no,48,2.0,no,9,0.23,good
615,winter,0,0,0,0,2,1,6,7,1,1,18,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,UA,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,e,no,yes,no,yes,29,0.3,yes,9,0.33,good
616,autumn,0,1,1,0,4,0,9,5,1,0,15,3,2,1,0,15,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,42,11.9,yes,9,0.34,good
617,winter,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,d,no,no,no,no,46,4.0,yes,2,0.13,good
618,autumn,0,0,1,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,3,0,yes,yes,yes,City,City,Recruitment,Secondary education,i,yes,yes,yes,no,50,19.0,yes,8,0.22,good
619,winter,0,2,5,0,4,1,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary education,h,yes,no,yes,yes,52,2.5,no,7,0.60,good
620,autumn,0,0,0,0,0,0,5,6,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,1,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,yes,no,47,7.9,yes,6,0.03,good
621,summer,0,0,1,0,1,2,14,3,0,1,1,0,0,0,1,84,6,3,1,0,0,6,2,1,0,0,4,0,1,0,0,Male,KZ,Married,2,1,yes,yes,yes,Rural village,Rural village,Recruitment,Higher education,i,yes,yes,no,no,55,0.7,yes,4,0.31,good
622,winter,0,0,0,0,1,0,1,4,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,no,no,no,46,0.6,yes,5,0.13,good
623,autumn,0,0,1,0,1,1,17,7,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,a,no,no,no,yes,33,0.7,yes,8,0.36,good
624,autumn,1,2,0,0,2,0,6,5,2,0,10,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,yes,yes,26,3.5,no,7,0.42,good
625,winter,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,a,no,no,no,no,36,3.1,no,0,0.05,good
626,winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,3,1,yes,yes,yes,City,City,Recruitment,Higher education,a,yes,no,no,no,54,2.9,yes,0,0.03,good
627,autumn,1,1,0,0,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Higher education,c,yes,no,yes,yes,36,11.6,no,5,0.50,good
628,autumn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Higher education,p,yes,yes,no,no,51,5.8,yes,0,0.05,good
629,autumn,0,0,0,0,0,0,2,4,0,0,8,2,1,1,0,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,Feminine,BY,Separation,2,1,yes,yes,yes,City,City,Recruitment,Higher education,e,yes,yes,no,no,47,23.3,yes,4,0.05,good
630,autumn,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,h,no,no,no,no,27,5.7,no,1,0.06,good
631,autumn,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,35,2.9,yes,1,0.04,good
632,autumn,0,1,4,0,4,0,8,3,1,3,16,2,1,1,0,8,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,no,no,45,11.8,yes,7,0.34,good
633,autumn,0,0,0,0,1,2,7,6,2,0,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,Male,BY,Married,3,3,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,a,yes,yes,yes,yes,39,6.2,yes,7,0.30,good
634,winter,0,3,0,0,3,0,11,3,2,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,s,yes,yes,yes,yes,29,7.0,yes,6,0.13,good
635,summer,0,0,1,0,3,1,4,0,0,2,2,0,0,0,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Male,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,p,no,yes,no,no,48,2.8,yes,3,0.11,good
636,winter,2,4,0,0,3,1,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,f,no,no,yes,yes,42,17.8,yes,12,0.65,good
637,autumn,0,0,0,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,s,yes,yes,no,no,34,13.8,no,2,0.09,good
638,winter,0,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary education,a,yes,no,no,no,52,8.0,yes,4,0.14,good
639,winter,0,0,0,2,2,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Separation,2,2,no,yes,yes,Village1,Village1,Recruitment,Higher education,a,no,no,yes,yes,45,1.5,yes,4,0.17,good
640,autumn,0,0,4,0,1,1,6,5,1,3,11,0,0,0,11,19,10,6,0,0,0,14,5,0,0,0,2,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Owner of the enterprise,Higher education,k,yes,yes,no,no,34,8.1,yes,6,0.04,good
641,autumn,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Individual entrepreneur,Higher education,n,yes,yes,yes,yes,47,9.6,yes,5,0.19,good
642,autumn,0,0,0,0,1,2,10,3,0,1,11,1,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,Feminine,RU,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary special education,d,yes,no,no,no,57,1.2,yes,4,0.27,good
643,autumn,0,0,1,0,1,0,9,7,2,0,23,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Feminine,BY,Single,2,0,yes,yes,yes,City,City,Recruitment,Higher education,l,yes,yes,yes,yes,54,29.7,no,8,0.18,good
644,winter,0,1,1,0,1,1,9,5,1,0,3,2,2,0,0,12,2,3,0,0,0,2,3,0,0,0,2,3,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,a,no,yes,no,no,28,8.0,yes,6,0.17,good
645,autumn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,MN,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,g,no,yes,no,no,29,1.8,yes,1,0.04,good
646,winter,0,0,0,0,2,0,9,3,0,3,10,1,1,0,18,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,d,no,no,no,no,37,1.5,yes,5,0.31,good
647,winter,0,0,1,0,2,0,2,1,0,0,33,0,0,0,0,33,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,yes,no,no,54,3.3,yes,3,0.40,good
648,winter,0,0,7,0,1,2,11,1,0,0,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,g,yes,no,no,no,42,7.5,yes,2,0.19,good
